,
?,?
Afiador,afilador
Albanel,albañil
Alguacil,alguacil
Areeiro,?
Armador,armador
Armeiro,armero
Artesán,artesano
Artes Gráficas,trabajador de artes gráficas
Artista,artista
Auxiliar caminero,peón caminero
Avogado,abogado
Axente comercial,agente comercial
Axente de negocios,agente de negocios
Axente de policía,agente de policía
Axustador,ajustador
Barbeiro,barbero
Barrenador,barrenero
Bombeiro,bombero
Braceiro,bracero
Buzo,buzo
Caixeira,cajera
Caixonista,cajonero
Caldeireiro/a,calderero
Camareiro/a,camarero
Camareiro marítimo,camarero marítimo
Canteiro/a,cantero
Capataz,capataz
Carabineiro,carabinero
Carboeira/o,carbonero
Cargador/a,cargador
Carniceiro/a,carnicero
Carpinteiro,carpintero
Carteiro,cartero
Celador/a,celador
Ceramista,ceramista
Cerraxeiro/a,cerrajero
Cesteiro/a,cestero
Chapista,chapista
Chocolateiro/a,chocolatero
Chofer,chófer
Churreiro/a,churrero
Cobrador/a,cobrador
Cociñeiro,cocinero
Colchoneiro/a,colchonero
Comerciante,comerciante
Comisionista,comisionista
Confiteiro/a,confitero
Conserveiro/a,conservero
Constructor,constructor
Contable,contable
Contratista de obras,contratista de obras
Costureira,costurera
Curtidor/a,curtidor
Delineante,delineante
Dependente,dependiente
Descoñecida,?
Diplomático,diplomático
Dramaturgo/a,dramaturgo
Ebanista,ebanista
Electricista,electricista
Empregado/a,empleado
Empregado/a correos,empleado de correos
Empregado do ferrocarril,empleado de ferrocarril
Enfermeiro/a,enfermero
Enterrador,enterrador
Enxeñeiro,ingeniero
Escribinte,escribano
Escritor/a,escritor
Estibador/a,estibador
Estudante,estudiante
Factor de ferrocarril,?
Farmacéutico/a,farmacéutico
Ferrador,herrador
Ferralleiro/a,?
Ferreiro/a,herrero
Ferroviario,ferroviario
Fogoneiro,fogonero
Fogueteiro,?
Follalateiro/a,?
Fontaneiro,fontanero
Forxador,forjador
Fotógrafo/a,fotógrafo
Funcionario/a,funcionario
Funcionario municipal,funcionario municipal
Fundidor,fundidor
futbolista,futbolista
Gandeiro/a,ganadero
Garda civil,guardia civil
Garda de asalto,guardia de asalto
Garda forestal,guardia forestal
Garda municipal,guardia municipal
Guarnicioneiro,guarnicionero
Home,?
Industrial,industrial
Labrego,labrador
Labrego/a,labrador
Lavandeira,lavandera
Libreiro/a,librero
Limpabotas,limpiabotas
Litógrafo,litógrafo
Maquinista,maquinista
Maquinista naval,maquinista naval
Mariñeiro,marinero
Mariño,marino
Marmorista,marmolista
Matachín,?
Mecánico,mecánico
Médico/a,médico
Mestre/a,maestro
Mestre de obras,maestro de obras
Metalúrxico,metalúrgico
Miliciano,miliciano
Militar,militar
Mineiro,minero
Moldeador,moldeador
Mozo,mozo
Muiñeiro/a,molinero
Músico,músico
Notario,notario
Obreiro/a,obrero
Obreiro do Ferrocarril,obrero ferroviario
Obreiro naval,obrero naval
Odontólogo,odontólogo
Oficinista,oficinista
Panadeiro/a,panadero
Patrón de pesca,patrón de pesca
Peixeira/o,pescadero
Pensionista,pensionista
Peón,peón
Perito agrícola,perito agrícola
Perito mercantil,perito mercantil
Perruqueiro/a,peluquero
Pinche,pinche
Pintor,pintor
Piroténico,piroténico
Polbeiro/a,?
Porteiro/a,portero
Practicante,practicante
Procurador,procurador
Profesor/a,profesor
Profesor universitario,profesor universitario
Propietario/a,propietario
Radiotelegrafista,radiotelegrafista
Recadador de contribucións,recaudador de impuestos
Reloxeiro/a,relojero
Revisteiro/a,?
Rexistrador/a da Propiedade,registrador de la propiedad
Sacerdote,sacerdote
Secretario do Concello,secretario de concejo
Secretario Xudicial,secretario judicial
Sen Oficio,?
Sereno,sereno
Serrador,serrador
Soldado,soldado
Soldador,soldador
Taberneiro/a,tabernero
Tapiceiro,tapicero
Taxista,taxista
Telegrafista,telegrafista
Tipógrafo,tipógrafo
Toneleiro,tonelero
Torneiro,tornero
Traballo na casa,?
Tradutor,traductor
Transportista de peixe,transportista
Tranviario,tranviario
Varredor/a,barrendero
Vendedor/a ambulante,vendedor ambulante
Vendedor de Xornais,vendedor
Veterinario,veterinario
Viaxante,viajante
Vidrieiro,vidriero
Vixiante,vigilante
Vixiante de pesca,vigilante
Xastre,sastre
Xoieiro/a,joyero
Xornaleiro,jornalero
Xornaleiro/a,jornalero
Xornalista,periodista
Xuíz Municipal,juez municipal
Zapateiro,zapatero
Zoqueiro/a,zoqueiro
