apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Aba García, Olegario;;;25;;;Fuente Obejuna - El Alcornocal (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;5 de noviembre de 1941
Aba Perea, Ricardo;;;28;;;Jaén (Jaén);;;-;;;Hartheim (Alkoven, Àustria) ;;;25 de septiembre de 1941
Abad Albertos, Florencio;;;38;;;Segovia;;;-;;;Gusen - Campo de concentración (Austria);;;18 de abril de 1942
Abad Carmen, Antonio;;;35;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;4 de enero de 1942
Abad Edo, Luis;;;24;;;Formiche Alto - Formiche Bajo (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;14 de septiembre de 1941
Abad Fernández, Marcos;;;33;;;El Puente del Arzobispo (Toledo);;;-;;;Gusen - Campo de concentración (Austria);;;25 de marzo de 1943
Abad García, Gabriel;;;39;;;Gádor (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;4 de mayo de 1941
Abad Robledo, Claudio;;;53;;;Oropesa (Toledo);;;-;;;Mauthausen - Campo de concentración (Austria);;;12 de enero de 1941
Abad Valentín, Marcial;;;32;;;Muduex (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;29 de diciembre de 1941
Abadía Del Ruste, Emilio;;;22;;;Pina de Ebro (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;26 de octubre de 1942
Abascal Ceballos, Prudencio;;;26;;;Villacarriedo (Cantabria);;;-;;;Gusen - Campo de concentración (Austria);;;15 de octubre de 1942
Abella Barrero, Antonio;;;29;;;Villafranca del Bierzo-Praderaseca (León);;;-;;;Gusen - Campo de concentración (Austria);;;5 de diciembre de 1941
Abellán Fernández, Marcelo;;;24;;;Manzanares (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;25 de diciembre de 1941
Abellán Martínez, José;;;32;;;Lorca (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;28 de septiembre de 1941
Abelló Gracia, Francisco;;;38;;;Barcelona;;;-;;;Hartheim (Austria);;;30 de septiembre de 1941
Abelló Mestres, Juan ;;;30;;;La Figuera (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;4 de noviembre de 1941
Abengózar Campo, Salvador;;;30;;;Alcázar de San Juan (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;22 de diciembre de 1941
Abenia Berjes, José;;;25;;;Fuentes de Ebro (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;17 de enero de 1942
Abenoza Orán, Julián;;;30;;;Peralta de Alcofea (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;29 de mayo de 1942
Abril Castell, Joaquín;;;35;;;Binéfar (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;19 de marzo de 1942
Abril Escudero, Avelino;;;27;;;Alzira (Valencia);;;-;;;Hartheim;;;9 de febrero de 1942
